# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.1.2

_fengo.wiped, boolean, 01
joinedparty.infiniterose, boolean, 00
joinedparty.itsdanielbro, boolean, 00
joinedparty.jazzwalgar, boolean, 00
joinedparty.katekitkat9, boolean, 00
joinedparty.kristycream, boolean, 00
joinedparty.kyokokat, boolean, 00
joinedparty.lacerfacerxd, boolean, 00
joinedparty.lego7711, boolean, 00
joinedparty.lordlankovic, boolean, 00
joinedparty.luna482, boolean, 00
joinedparty.mrprotagonist, boolean, 00
joinedparty.nitrogengaming1, boolean, 00
joinedparty.post_rogue, boolean, 00
joinedparty.pumpkinpepper, boolean, 00
joinedparty.quisalas, boolean, 00
joinedparty.raventhegreat, boolean, 00
joinedparty.rfcroc, boolean, 00
joinedparty.rubyserpent, boolean, 00
joinedparty.ryan1450, boolean, 00
joinedparty.saphrana, boolean, 00
joinedparty.scatzbro, boolean, 00
joinedparty.scorrpine, boolean, 00
joinedparty.shadow007uk, boolean, 00
joinedparty.sharkboy5432, boolean, 00
joinedparty.shaunticlair, boolean, 00
joinedparty.shinx, boolean, 00
joinedparty.ski32, boolean, 00
joinedparty.statiikxkaleb, boolean, 00
joinedparty.swimmer117, boolean, 00
joinedparty.thegreatcrafter7, boolean, 00
joinedparty.trich159, boolean, 00
joinedparty.trytheswordfish, boolean, 00
joinedparty.varanta, boolean, 00
joinedparty.warriorchad414, boolean, 00
joinedparty.zell963s, boolean, 00
joinedparty.zombiehugger4, boolean, 00
kyokokat.wiped, boolean, 01
lastpoke.green11, double, 0000000000000000
lastpoke.mrprotagonist, double, 0000000000000000
lastpoke.nitrogengaming1, double, 0000000000000000
lastwarp._fengo, date, 810974696D657374616D70040000014B6C71AB72
lastwarp.anonymous_404, date, 810974696D657374616D70040000014B6BAC03AC
lastwarp.atomicburgerflip, date, 810974696D657374616D70040000014B673A573D
lastwarp.captainstupid, date, 810974696D657374616D70040000014B3DB49289
lastwarp.darkeye932, date, 810974696D657374616D70040000014B7BB3B0C0
lastwarp.dinoppar, date, 810974696D657374616D70040000014B7C6D6A52
lastwarp.dpw750, date, 810974696D657374616D70040000014B654F6C52
lastwarp.drbloodbathmc, date, 810974696D657374616D70040000014B76A5C68E
lastwarp.evillittlething, date, 810974696D657374616D70040000014B7A30C8E4
lastwarp.fireknight92, date, 810974696D657374616D70040000014B7F999F8B
lastwarp.green11, date, 810974696D657374616D70040000014B762B017B
lastwarp.hobbitsyfeet, date, 810974696D657374616D70040000014B7C43AA39
lastwarp.infiniterose, date, 810974696D657374616D70040000014B70E1DB89
lastwarp.kyokokat, date, 810974696D657374616D70040000014B65783AD2
lastwarp.lacerfacerxd, date, 810974696D657374616D70040000014B7E023A39
lastwarp.luna482, date, 810974696D657374616D70040000014B656E1F29
lastwarp.mrprotagonist, date, 810974696D657374616D70040000014B7C50A8FE
lastwarp.nitrogengaming1, date, 810974696D657374616D70040000014B671FEB60
lastwarp.post_rogue, date, 810974696D657374616D70040000014B7C415A33
lastwarp.pumpkinpepper, date, 810974696D657374616D70040000014B71FD461C
lastwarp.quisalas, date, 810974696D657374616D70040000014B79B77AB7
lastwarp.rfcroc, date, 810974696D657374616D70040000014B7E1572CB
lastwarp.rubyserpent, date, 810974696D657374616D70040000014B79FCC9FE
lastwarp.ryan1450, date, 810974696D657374616D70040000014B70911635
lastwarp.scatzbro, date, 810974696D657374616D70040000014B7067947B
lastwarp.shaunticlair, date, 810974696D657374616D70040000014B680FED56
lastwarp.statiikxkaleb, date, 810974696D657374616D70040000014B6FD5A9BA
lastwarp.varanta, date, 810974696D657374616D70040000014B6818FDC7
lastwarp.warriorchad414, date, 810974696D657374616D70040000014B7F93ACE5
lastwarp.zombiehugger4, date, 810974696D657374616D70040000014B65854303
locked.darkeye932, boolean, 00
locked.darkeye932.pos, location, 860379617708C2B4E7980570697463680840CE65D2017A0940A888CBD7451B1E017909405440000000000005776F726C6480FF0000000281046E616D652080094D657461637572736501780940B98B5746D0093E
locked.dinoppar, boolean, 00
locked.dinoppar.pos, location, 860379617708C3024BB6057069746368084204000F017A09C0B7284CCCCD00000179094060A6666680000005776F726C6480FF0000000281046E616D652080094D6574616375727365017809409C277EBF00591A
locked.drbloodbathmc, boolean, 00
locked.drbloodbathmc.pos, location, 860379617708C0612D4C0570697463680841F73316017A09C0715B3333300000017909405580000000000005776F726C6480FF0000000281046E616D652080094D6574616375727365017809C0B80E851454158E
locked.evillittlething, boolean, 00
locked.evillittlething.pos, location, 86037961770843457BC405706974636808403667CE017A0940BB7FE04DD26734017909405CC0000000000005776F726C6480FF0000000281046E616D652080094D657461637572736501780940A42C2437F102F5
locked.fireknight92, boolean, 00
locked.fireknight92.pos, location, 8603796177084257D7EF0570697463680841DB5E49017A09C08353479FE7208D017909404AE0000000000005776F726C6480FF0000000281046E616D652080094D6574616375727365017809C0A358D88DC9B5C1
locked.infiniterose, boolean, 00
locked.infiniterose.pos, location, 860379617708432F98E005706974636808421C0000017A09C093C5F26DC5831C01790940543AFB7E8F5C2905776F726C6480FF0000000281046E616D652080094D657461637572736501780940A92AE0711E369A
locked.scatzbro, boolean, 00
locked.scatzbro.pos, location, 860379617708C3B2E46405706974636808411999A8017A09C09D3CBD89EBC10C017909405040000000000005776F726C6480FF0000000281046E616D652080094D6574616375727365017809C0B19EA529047A54
locked.shadow007uk, boolean, 00
locked.shadow007uk.pos, location, 860379617708437F3D500570697463680841B8CCB1017A0940B013D08AFBC93B01790940500272E3DC845805776F726C6480FF0000000281046E616D652080094D6574616375727365017809C09F4E3330BAFF04
login.dropparty, double, 4014000000000000
logincount, double, 40C49F8000000000
luna482.wiped, boolean, 01
mhf::arrowdown, string, 800D4D48465F4172726F77446F776E
mhf::arrowleft, string, 800D4D48465F4172726F774C656674
mhf::arrowright, string, 800E4D48465F4172726F775269676874
mhf::arrowup, string, 800B4D48465F4172726F775570
mhf::blaze, string, 80094D48465F426C617A65
mhf::cactus, string, 800A4D48465F436163747573
mhf::cake, string, 80084D48465F43616B65
mhf::cavespider, string, 800E4D48465F43617665537069646572
mhf::chest, string, 80094D48465F4368657374
mhf::chicken, string, 800B4D48465F436869636B656E
mhf::cow, string, 80074D48465F436F77
mhf::enderman, string, 800C4D48465F456E6465726D616E
mhf::exclamation, string, 800F4D48465F4578636C616D6174696F6E
mhf::ghast, string, 80094D48465F4768617374
mhf::golem, string, 80094D48465F476F6C656D
mhf::herobrine, string, 800D4D48465F4865726F6272696E65
mhf::lavaslime, string, 800D4D48465F4C617661536C696D65
mhf::melon, string, 80094D48465F4D656C6F6E
mhf::mushroomcow, string, 800F4D48465F4D757368726F6F6D436F77
mhf::oaklog, string, 800A4D48465F4F616B4C6F67
mhf::ocelot, string, 800A4D48465F4F63656C6F74
mhf::pigzombie, string, 800D4D48465F5069675A6F6D626965
mhf::pig, string, 80074D48465F506967
mhf::pumpkin, string, 800B4D48465F50756D706B696E
mhf::question, string, 800C4D48465F5175657374696F6E
mhf::sheep, string, 80094D48465F5368656570
mhf::slime, string, 80094D48465F536C696D65
mhf::spider, string, 800A4D48465F537069646572
mhf::squid, string, 80094D48465F5371756964
mhf::tnt2, string, 80084D48465F544E5432
mhf::tnt, string, 80074D48465F544E54
mhf::villager, string, 800C4D48465F56696C6C61676572
mossman.<none>, boolean, 01
mrprotagonist.wiped, boolean, 01
new.adnap09, boolean, 01
new.aiden_h1, boolean, 01
new.anonymous_404, boolean, 01
new.atomicburgerflip, boolean, 00
new.batman1120002, boolean, 01
new.beagle5555, boolean, 00
new.clymate, boolean, 01
new.coolcoolcool64, boolean, 00
new.diskdinomite, boolean, 01
new.fifatord, boolean, 00
new.fireknight92, boolean, 00
new.fwiter, boolean, 00
new.idafox, boolean, 01
new.lego7711, boolean, 00
new.pumpkinpepper, boolean, 00
new.saphrana, boolean, 01
new.scorrpine, boolean, 00
new.sharkboy5432, boolean, 00
new.statiikxkaleb, boolean, 01
new.swimmer117, boolean, 00
new.thegreatcrafter7, boolean, 00
new.varanta, boolean, 00
new.warriorchad414, boolean, 00
new.zell963s, boolean, 01
new.zombiehugger4, boolean, 00
newest.player, offlineplayer, 81046E616D6520800C466972654B6E696768743932
nightvision._fengo, boolean, 00
nightvision.adnap09, boolean, 00
nightvision.aiden_h1, boolean, 00
nightvision.anonymous_404, boolean, 00
nightvision.atomicburgerflip, boolean, 00
nightvision.batman1120002, boolean, 00
nightvision.beagle5555, boolean, 00
nightvision.canadianeatfresh, boolean, 00
nightvision.captainstupid, boolean, 00
nightvision.clymate, boolean, 00
nightvision.coolcoolcool64, boolean, 00
nightvision.darkeye932, boolean, 00
nightvision.dinoppar, boolean, 00
nightvision.diskdinomite, boolean, 00
nightvision.dpw750, boolean, 00
nightvision.drbloodbathmc, boolean, 00
nightvision.esfavorie, boolean, 00
nightvision.evillittlething, boolean, 00
nightvision.fifatord, boolean, 00
nightvision.fireknight92, boolean, 00
nightvision.fwiter, boolean, 00
nightvision.green11, boolean, 00
nightvision.hobbitsyfeet, boolean, 00
nightvision.hunterboy57, boolean, 00
nightvision.idafox, boolean, 00
nightvision.infiniterose, boolean, 00
nightvision.itsdanielbro, boolean, 00
nightvision.jazzwalgar, boolean, 00
nightvision.katekitkat9, boolean, 00
nightvision.kristycream, boolean, 00
nightvision.kyokokat, boolean, 00
nightvision.lacerfacerxd, boolean, 00
nightvision.lego7711, boolean, 00
nightvision.lordlankovic, boolean, 00
nightvision.luna482, boolean, 00
nightvision.mrprotagonist, boolean, 00
nightvision.nitrogengaming1, boolean, 00
nightvision.post_rogue, boolean, 00
nightvision.pumpkinpepper, boolean, 00
nightvision.quisalas, boolean, 00
nightvision.raventhegreat, boolean, 00
nightvision.rfcroc, boolean, 00
nightvision.rubyserpent, boolean, 00
nightvision.ryan1450, boolean, 00
nightvision.saphrana, boolean, 00
nightvision.scatzbro, boolean, 00
nightvision.scorrpine, boolean, 00
nightvision.shadow007uk, boolean, 00
nightvision.sharkboy5432, boolean, 00
nightvision.shaunticlair, boolean, 00
nightvision.shinx, boolean, 00
nightvision.ski32, boolean, 00
nightvision.statiikxkaleb, boolean, 00
nightvision.swimmer117, boolean, 00
nightvision.thegreatcrafter7, boolean, 00
nightvision.trich159, boolean, 00
nightvision.trytheswordfish, boolean, 00
nightvision.varanta, boolean, 00
nightvision.warriorchad414, boolean, 00
nightvision.zell963s, boolean, 00
nightvision.zombiehugger4, boolean, 00
npcs.names::1, string, 80055361726168
npcs.names::2, string, 80074D617474686577
npcs.names::3, string, 8004506F7374
npcs.names::4, string, 8004706F7374
npcs.names::5, string, 8002416C
npcs.names::6, string, 8003427564
permshop.dinoppar.enable, boolean, 00
permshop.dinoppar.screen, long, 0000000000000000
pin.<player>, string, 80046E756C6C
pin.darkeye932, string, 800870617373776F7264
pin.dinoppar, string, 80203566313764643837316461636336313833343233346139636435616133373564
pin.drbloodbathmc, string, 80206131316639653533336632383539333736386562663837303735616233346632
pin.evillittlething, string, 80203361633735613664363032373165666162343165623137343764313732363139
pin.fireknight92, string, 80203566373033396231626236323838303534383163623538353630613132303862
pin.infiniterose, string, 80206530333136633738313565303830363930343537363831323962663533653666
pin.raventhegreat, string, 80203436326436373564613037623336653433633433633165643165366461323332
pin.scatzbro, string, 80203062393664383166303439346664653534323863376165613234336339313537
pin.shadow007uk, string, 80203263313734336133393133303566626633363764663865346630363966396639
poll.<player>.voted, boolean, 00
poll._fengo.voted, boolean, 00
poll.adnap09.voted, boolean, 00
poll.aiden_h1.voted, boolean, 00
poll.anonymous_404.voted, boolean, 00
poll.atomicburgerflip.voted, boolean, 00
poll.batman1120002.voted, boolean, 00
poll.beagle5555.voted, boolean, 00
poll.canadianeatfresh.voted, boolean, 00
poll.captainstupid.voted, boolean, 00
poll.clymate.voted, boolean, 00
poll.coolcoolcool64.voted, boolean, 00
poll.darkeye932.voted, boolean, 00
poll.dinoppar.voted, boolean, 00
poll.diskdinomite.voted, boolean, 00
poll.dpw750.voted, boolean, 00
poll.drbloodbathmc.voted, boolean, 00
poll.esfavorie.voted, boolean, 00
poll.evillittlething.voted, boolean, 00
poll.fifatord.voted, boolean, 00
poll.fireknight92.voted, boolean, 00
poll.fwiter.voted, boolean, 00
poll.going, boolean, 00
poll.green11.voted, boolean, 00
poll.hobbitsyfeet.voted, boolean, 00
poll.hunterboy57.voted, boolean, 00
poll.idafox.voted, boolean, 00
poll.infiniterose.voted, boolean, 00
poll.itsdanielbro.voted, boolean, 00
poll.jazzwalgar.voted, boolean, 00
poll.katekitkat9.voted, boolean, 00
poll.kristycream.voted, boolean, 00
poll.kyokokat.voted, boolean, 00
poll.lacerfacerxd.voted, boolean, 00
poll.lego7711.voted, boolean, 00
poll.lordlankovic.voted, boolean, 00
poll.luna482.voted, boolean, 00
poll.mrprotagonist.voted, boolean, 00
poll.nitrogengaming1.voted, boolean, 00
poll.no, double, 401C000000000000
poll.post_rogue.voted, boolean, 00
poll.pumpkinpepper.voted, boolean, 00
poll.question, string, 803E446F20796F7520706C616E206F6E206368616E67696E6720796F757220757365726E616D653F20284E6577204D696E656372616674206665617475726529
poll.quisalas.voted, boolean, 00
poll.raventhegreat.voted, boolean, 00
poll.rfcroc.voted, boolean, 00
poll.rubyserpent.voted, boolean, 00
poll.ryan1450.voted, boolean, 00
poll.saphrana.voted, boolean, 00
poll.scatzbro.voted, boolean, 00
poll.scorrpine.voted, boolean, 00
poll.shadow007uk.voted, boolean, 00
poll.sharkboy5432.voted, boolean, 00
poll.shaunticlair.voted, boolean, 00
poll.shinx.voted, boolean, 00
poll.ski32.voted, boolean, 00
poll.statiikxkaleb.voted, boolean, 00
poll.swimmer117.voted, boolean, 00
poll.thegreatcrafter7.voted, boolean, 00
poll.trich159.voted, boolean, 00
poll.trytheswordfish.voted, boolean, 00
poll.varanta.voted, boolean, 00
poll.warriorchad414.voted, boolean, 00
poll.yes, long, 0000000000000000
poll.zell963s.voted, boolean, 00
poll.zombiehugger4.voted, boolean, 00
post_rogue.wiped, boolean, 01
pvp.infiniterose, long, 0000000000000001
pvp.quisalas, long, 0000000000000000
pvp.quisalas.lastused, date, 810974696D657374616D70040000014B7B175301
question.last, offlineplayer, 81046E616D6520800B736861646F77303037756B
quisalas.wiped, boolean, 01
quiz.question, string, 800C6A7573742074657374696E67
randommessage::1, string, 803A486967686C792064657461696C65642073746174697374696373206172652067617468657265642061626F7574206561636820706C617965722E
randommessage::2, string, 8040596F7520676574207061696420666F722077656C636F6D696E6720706C61796572732077686F206A6F696E21204265206120676F6F64206E65696768626F7221
randommessage::3, string, 804A496620796F75206861766520616E792070726F626C656D73206F7220636F6E6365726E732C20706C65617365207375626D6974206120C2A761C2A76F2F7469636B6574C2A765C2A76F2E
randommessage::4, string, 803E4C696B65207573206F6E2046616365626F6F6B20666F72207370656369616C206F666665727320616E6420696E7369646520696E666F726D6174696F6E21
randommessage::5, string, 805BC2A735C2A76F5072656D69756DC2A765C2A76F206D656D62657273206765742061206C61726765206173736F72746D656E74206F6620637573746F6D697A61626C65206566666563747320616E64206F74686572207065726B7321
randommessage::6, string, 8097C2A764C2A76F4E65776269657320C2A765C2A76F63616E206765742066726565206B69747320696E2074686520C2A7612FC2A76F627579C2A765C2A76F206D656E75207573696E6720746865697220C2A736C2A76F4D657461C2A761C2A76F506F696E7473C2A765C2A76F2E204561726E206D6F72652062792070617274696369706174696E67206F6E20746865207765627369746521
randommessage::7, string, 8039566973697420C2A761C2A76F4D634D65746176657273652E636F6DC2A765C2A76F206F6674656E20746F207374617920696E666F726D656421
randommessage::8, string, 803E596F752063616E206A6F696E2061207072697661746520C2A761C2A76F2F63686174C2A765C2A76F206368616E6E656C207769746820667269656E647321
randommessage::9, string, 80354265207375726520796F75206172652066616D696C69617220776974682074686520C2A761C2A76F2F72756C6573C2A765C2A76F2E
randommessage::10, string, 804F4E657720636F6E74656E7420697320636F6E7374616E746C792061646465642E20436865636B206261636B206F6674656E20666F72206E6577207468696E677320746F20646F20616E642073656521
randommessage::11, string, 802F596F752063616E206361746368206D6F6273207769746820736F6D652072656473746F6E6520616E64206567677321
randommessage::12, string, 80754E657665722061736B20616E20C2A763C2A76F41646D696EC2A765C2A76F206F7220C2A761C2A76F44657620C2A765C2A76F746F2066697820736F6D657468696E6720696E2063686174212054686579206F6E6C7920726573706F6E6420746F20C2A761C2A76F2F7469636B6574C2A765C2A76F73
randommessage::13, string, 805643757273696E6720697320616C6C6F7765642C2062757420756E6E65636573736172696C792070726F66616E652072656D61726B73206F72206861726173736D656E7420617265206E6F7420746F6C6572617465642E
randommessage::14, string, 808B537461727420616E206974656D2061756374696F6E20627920747970696E6720C2A761C2A76F2F61756320737461727420C2A765C2A76F3CC2A761C2A76F7072696365C2A765C2A76F3E2C207468656E20706C61636520746865206974656D20796F752077616E7420746F2061756374696F6E20696E2074686520706F70757020696E76656E746F727921
randommessage::15, string, 806E4665656C696E672067656E65726F75733F2042757920616C6C20796F75722066656C6C6F7720636F6D6D756E697479206D656D6265727320612064726F7020706172747920666F72206F6E6C7920243120696E2074686520C2A761C2A76F2F627579C2A765C2A76F206D656E752E
refer.fifth, long, 0000000000000001
refer.first, long, 0000000000000005
refer.fourth, long, 0000000000000002
refer.second, long, 0000000000000004
refer.third, long, 0000000000000003
refered.adnap09, boolean, 00
refered.aiden_h1, boolean, 00
refered.anonymous_404, boolean, 00
refered.atomicburgerflip, boolean, 00
refered.batman1120002, boolean, 00
refered.beagle5555, boolean, 00
refered.clymate, boolean, 00
refered.coolcoolcool64, boolean, 00
refered.diskdinomite, boolean, 00
refered.fifatord, boolean, 00
refered.fireknight92, boolean, 00
refered.fwiter, boolean, 00
refered.idafox, boolean, 00
refered.lego7711, boolean, 00
refered.pumpkinpepper, boolean, 00
refered.saphrana, boolean, 00
refered.scorrpine, boolean, 00
refered.sharkboy5432, boolean, 00
refered.statiikxkaleb, boolean, 00
refered.swimmer117, boolean, 00
refered.thegreatcrafter7, boolean, 00
refered.varanta, boolean, 00
refered.warriorchad414, boolean, 00
refered.zell963s, boolean, 00
refered.zombiehugger4, boolean, 00
reward._fengo.day, long, 0000000000000000
reward.adnap09.day, long, 0000000000000000
reward.aiden_h1.day, long, 0000000000000000
reward.anonymous_404.day, long, 0000000000000000
reward.atomicburgerflip.day, long, 0000000000000000
reward.batman1120002.day, long, 0000000000000000
reward.beagle5555.day, long, 0000000000000000
reward.canadianeatfresh.day, long, 0000000000000000
reward.captainstupid.day, long, 0000000000000000
reward.clymate.day, long, 0000000000000000
reward.coolcoolcool64.day, long, 0000000000000000
reward.count, double, 4020000000000000
reward.darkeye932.day, long, 0000000000000000
reward.dinoppar.day, long, 0000000000000000
reward.diskdinomite.day, long, 0000000000000000
reward.dpw750.day, long, 0000000000000000
reward.drbloodbathmc.day, long, 0000000000000000
reward.esfavorie.day, long, 0000000000000000
reward.evillittlething.day, long, 0000000000000000
reward.fifatord.day, long, 0000000000000000
reward.fireknight92.day, long, 0000000000000000
reward.fwiter.day, long, 0000000000000000
reward.green11.day, long, 0000000000000000
reward.hobbitsyfeet.day, long, 0000000000000000
reward.hunterboy57.day, long, 0000000000000000
reward.idafox.day, long, 0000000000000000
reward.infiniterose.day, long, 0000000000000000
reward.itsdanielbro.day, long, 0000000000000000
reward.jazzwalgar.day, long, 0000000000000000
reward.katekitkat9.day, long, 0000000000000000
reward.kristycream.day, long, 0000000000000000
reward.kyokokat.day, long, 0000000000000000
reward.lacerfacerxd.day, long, 0000000000000000
reward.lego7711.day, long, 0000000000000000
reward.lordlankovic.day, long, 0000000000000000
reward.luna482.day, long, 0000000000000000
reward.mrprotagonist.day, long, 0000000000000000
reward.nitrogengaming1.day, long, 0000000000000000
reward.post_rogue.day, long, 0000000000000000
reward.pumpkinpepper.day, long, 0000000000000000
reward.quisalas.day, long, 0000000000000000
reward.raventhegreat.day, long, 0000000000000000
reward.rfcroc.day, long, 0000000000000000
reward.rubyserpent.day, long, 0000000000000000
reward.ryan1450.day, long, 0000000000000000
reward.saphrana.day, long, 0000000000000000
reward.scatzbro.day, long, 0000000000000000
reward.scorrpine.day, long, 0000000000000000
reward.shadow007uk.day, long, 0000000000000000
reward.sharkboy5432.day, long, 0000000000000000
reward.shaunticlair.day, long, 0000000000000000
reward.shinx.day, long, 0000000000000000
reward.ski32.day, long, 0000000000000000
reward.statiikxkaleb.day, long, 0000000000000000
reward.swimmer117.day, long, 0000000000000000
reward.thegreatcrafter7.day, long, 0000000000000000
reward.trich159.day, long, 0000000000000000
reward.trytheswordfish.day, long, 0000000000000000
reward.varanta.day, long, 0000000000000000
reward.warriorchad414.day, long, 0000000000000000
reward.zell963s.day, long, 0000000000000000
reward.zombiehugger4.day, long, 0000000000000000
rfcroc.wiped, boolean, 01
rubyserpent.wiped, boolean, 01
ryan1450.wiped, boolean, 01
setpin.<player>, boolean, 00
setpin.darkeye932, boolean, 01
setpin.dinoppar, boolean, 01
setpin.drbloodbathmc, boolean, 01
setpin.evillittlething, boolean, 01
setpin.fireknight92, boolean, 01
setpin.infiniterose, boolean, 01
setpin.raventhegreat, boolean, 01
setpin.scatzbro, boolean, 01
setpin.shadow007uk, boolean, 01
shaunticlair.wiped, boolean, 01
signed.atomicburgerflip, date, 810974696D657374616D70040000014B668B7793
signed.beagle5555, date, 810974696D657374616D70040000014B66728318
signed.coolcoolcool64, date, 810974696D657374616D70040000014B662AC125
signed.fifatord, date, 810974696D657374616D70040000014B795452B8
signed.fireknight92, date, 810974696D657374616D70040000014B6B5B8441
signed.fwiter, date, 810974696D657374616D70040000014B765F048B
signed.lego7711, date, 810974696D657374616D70040000014B692C4C07
signed.pumpkinpepper, date, 810974696D657374616D70040000014B670E1293
signed.scorrpine, date, 810974696D657374616D70040000014B705014FE
signed.sharkboy5432, date, 810974696D657374616D70040000014B687F40EF
signed.swimmer117, date, 810974696D657374616D70040000014B67E53750
signed.thegreatcrafter7, date, 810974696D657374616D70040000014B6C2468DF
signed.varanta, date, 810974696D657374616D70040000014B66A54830
